,#05988a
Alan Jenkins,#f6efe6
Andy Lutomirski,#f1ae5d
Philip Langdale,#009688
Huang Rui,#f5e2cc
K. Y. Srinivasan,#009688
Alexander Sverdlin,#69bfb7
Antonio Ospite,#f0a040
Taeung Song,#f4d3ab
Chao Xie,#009688
Sven Anders & Marcus Junker,#009688
Nicolas Palix,#7ec7c1
Jamie Lenehan,#009688
Ankit Jain,#009688
Sven Eckelmann,#f1a347
Junghak Sung,#f2bb79
Kwangwoo Lee,#f2b063
Yoshihiro Shimoda,#67beb6
Ola Lilja,#f5dabb
Stanislav Samsonov,#f5dbbc
Kishon Vijay Abraham I,#ee8508
Alberto Mardegan,#009688
Jens Freimann,#f6e7d6
Pete Delaney,#ee860b
Aurelien Jarno,#009688
Peter 'p2' De Schrijver,#009688
Vikas Chaudhary,#f3bc7c
Dmitry Lifshitz,#009688
Ferenc Havasi,#65beb5
Imre Kaloz,#66beb6
Alexandre Belloni,#f2bb7a
Fabio Estevam,#009688
Werner Johansson,#d9ebe9
Cedric Bregardis,#e0eeed
Sean Cross,#0b9a8d
Huacai Chen,#f5e1ca
Shaik Ameer Basha,#34ab9f
Sylwester Nawrocki,#34aba0
Ondrej Zajicek,#c5e3e0
Dimitris Michailidis,#f2b164
Ken Cox,#f1af5f
Aaro Koskinen,#009688
Simon Guinot,#009688
Cong Wang,#abd9d5
J Keerthy,#f1aa56
Denis Kirjanov,#f4d0a6
Aleksey Babahin,#009688
Crane Cai,#009688
Masahide NAKAMURA,#f1aa55
Peter Huewe,#ef8b14
Avri Altman,#009688
Simon Horman,#f7f3ef
Alexander Mezin,#009688
Amitkumar Karwar,#009688
Török Edwin,#70c2ba
Michel Dänzer,#f6e9da
Max Schwarz,#ef8911
Sri Deevi,#f3c58e
Andreas Gruenbacher,#f2b369
Venkatesh Pallipadi,#009688
Kenny Mathis,#f09f3f
Andy Fleming,#f6eadc
Kevin Hao,#149e91
Olaf Hering,#009688
Muralidharan Karicheri,#f2bb7a
Wingman Kwok,#7fc8c1
Stefan Kriwanek,#009688
Cyrille Pitchen,#009688
Miloslav Trmac,#009688
Ralph Campbell,#7dc7c0
Thomas Sujith,#009688
Jeff Kirsher,#f3c084
Bernhard Weirich,#f5d7b4
Thomas Winischhofer,#67beb6
Alex Kelly,#009688
R Sharada,#009688
Markus Bollinger,#3fafa4
Joel Fernandes,#cae5e3
John Linn,#f09931
Zach Brown,#f1ad5c
Vivek Mahajan,#009688
Xianghua Xiao,#ee870d
Josh Boyer,#eff4f3
Mike McCormack,#55b7ae
Naveen Krishna Chatradhi,#009688
Arun Murthy,#08998c
Peter Korsgaard,#ef901f
Jan Schmidt,#b4ddd9
unsik Kim,#f2b772
Dave Gordon,#009688
Jan Harkes,#4eb5ab
Feng Kan,#009688
Tim Harvey,#f4cea0
Takashi Yamamoto,#f2b873
Ricardo Ribalda Delgado,#009688
Peter Griffin,#f1ad5c
Daniel Baluta,#f1a64c
Ladislav Michl,#f7f2ed
Neil Zhang,#28a69a
Tom Haynes,#81c9c2
Loc Ho,#f0a142
Christer Weinigel,#009688
Ariel Elior,#f1aa56
Christian Ohm,#009688
Chris Elston,#f6efe6
John Levon,#f5daba
Dave Young,#f4cfa4
Robert Love,#8ecec8
Beomho Seo,#009688
Kartikey Mahendra Bhatt,#009688
Michal Dobes,#f1a348
Edgar Hucek,#009688
Eli Carter,#f5d7b3
NeilBrown,#a2d6d1
Jason Liu,#009688
Fan Du,#009688
Paul Thomas,#009688
Paul Clarke,#009688
Ameya Palande,#009688
Yasuyuki Kozakai,#d2e9e6
Gaurav Minocha,#009688
Gabriel Fernandez,#009688
Matthias Fuchs,#f3f5f5
Robert Hancock,#f2b873
Vimal Singh,#009688
Giuliano Pochini,#a7d7d3
Paul Jackson,#b6deda
Markus Brunner,#f3c186
Stephen Evanchik,#009688
Tobias Doerffel,#f5dcbe
Josef Gajdusek,#f6ecdf
Rafi Rubin,#4fb5ab
Johan Hedberg,#009688
Jonathan Woithe,#bde0dd
Markus Reichl,#009688
Vasanthakumar Thiagarajan,#f1a348
Davidlohr Bueso,#f1a64e
Vladimir Zapolskiy,#009688
Thomas Bogendoerfer,#6ac0b8
Rashmica Gupta,#f5dcbe
Willem de Bruijn,#f6e4d0
Hirofumi Ogawa,#27a599
Yauheni Kaliuta,#b5ddd9
Madhuranath Iyengar,#ef8b14
David Gibson,#a6d7d2
HighPoint Linux Team,#009688
Joseph Lo,#f5e0c8
Chris Leech,#ee8304
J. Bruce Fields,#f5dbbd
Eric Bénard,#009688
Philipp Reisner,#f5d9b9
Will Newton,#ee870c
Grant Coady,#b2dcd8
Divy Le Ray,#70c2bb
Matthias Benesch,#cae5e3
Hu Tao,#009688
Kristen Carlson Accardi,#009688
Tapasweni Pathak,#7fc8c1
Ajay Kumar Gupta,#f3c793
Kedareswara rao Appana,#f1a64d
Qiao Zhou,#009688
Brent Casavant,#009688
Christof Schmitt,#f09d3b
Till Harbaum,#009688
Roland McGrath,#ee8304
Jonathan Brassow,#ef901f
Prashant P. Shah,#009688
Raghu Vatsavayi,#e7f1f0
Gaku Inami,#f09a35
Aruna Balakrishnaiah,#64bdb5
Jean-Jacques Hiblot,#009688
Vladimir Dronnikov,#f4cd9f
Imre Deak,#ef9223
Gabor Juhos,#f6e7d5
Nadia Derbey,#2fa99d
Michael Lawnick,#f1a449
Sjur Braendeland,#9cd3ce
Kalle Valo,#c5e3e0
Alexei Starovoitov,#009688
Julian Anastasov,#f6e5d2
Duc Dang,#eef4f3
Tim Sell,#f5ddc1
Frans Pop,#f5dbbd
sfking@fdwdc.com,#4eb5ab
Anirban Chakraborty,#c1e2df
Peter Warasin,#4eb5ab
Aapo Tahkola,#e0eeed
Philippe Rétornaz,#009688
GuanXuetao,#31a99e
Durgadoss R,#aedad6
Charles Keepax,#f6eee3
Thierry Escande,#badfdb
Jani Nikula,#f3be81
Jean Tourrilhes,#77c5be
J.R. Mauro,#f4f6f6
Grant Likely,#f3c792
Xing Zheng,#009688
Krystian Garbaciak,#ef8e1b
Timur Tabi,#009688
Domen Puncer,#73c3bc
Bernhard Walle,#009688
Huang Xiong,#f3f6f5
Rajiv Andrade,#009688
Gao feng,#f0f4f4
Haixia Shi,#f09529
David Chinner,#0d9b8e
Vinayak Holikatti,#72c3bb
liang xie,#f09933
Rodrigo Vivi,#f1a44a
Mans Rullgard,#009688
Christian Gmeiner,#009688
Vipul Kumar Samar,#66beb6
Bartlomiej Sieka,#149e91
Thomas Pedersen,#40afa5
Marcel Ziswiler,#009688
Sebastian Haas,#f7f5f3
Jon Loeliger,#009688
Stuart Lynne,#009688
Dominik Brodowski,#f2b873
John Daiker,#009688
Akira Takeuchi,#2fa89d
Aurelien Jacquiot,#e2efee
Steve French,#f3c896
Koro Chen,#4ab3a9
Thomas Huehn,#f3c38b
Mathias Krause,#f5e0c7
Horms,#f2f5f5
Kevin Strasser,#009688
Brian Haley,#009688
Krzysztof Piotr Oledzki,#009688
Jaewon Kim,#009688
James Simmons,#f09b36
Alasdair G. Kergon,#65beb5
Carolyn Wyborny,#f09c39
Dan Murphy,#f6e9da
Thomas Kunze,#dceceb
Sebastian Siewior,#f0962d
Alexey Dobriyan,#c7e4e1
David HÃ¤rdeman,#f3bd7e
George Zhang,#73c3bc
Martin J. Bligh,#009688
Karen Higgins,#f4ca98
qipeng.zha,#f5dec3
Søren Andersen,#f5ddc1
Vince Hsu,#9fd4cf
Richard Alpe,#009688
Jiri Pirko,#e6f0ef
Ching Huang,#f6e5d2
Antonino A. Daplas,#009688
Sonic Zhang,#009688
Koki Sanagi,#f1a64e
Sean Nyekjaer,#f1a852
Nikhil Rao,#20a396
Rabin Vincent,#f6ede2
Keshava Munegowda,#009688
Steven Rostedt,#f5e3cd
Joern Engel,#f2b975
Yu Zhao,#f6e8d8
Theodore Ts'o,#ee880e
Wang Qiang,#009688
Mike Sinkovsky,#009688
Dmitry Kasatkin,#83cac3
Christian Hohnstaedt,#009688
Alex Thorlton,#009688
Justin Chen,#009688
Guennadi Liakhovetski,#f2b873
Steve Best,#009688
Ludovic Tancerel,#a9d8d4
Ivo van Doorn,#009688
KAMEZAWA Hiroyuki,#009688
Matt Helsley,#4bb3aa
Saurabh,#009688
Yendapally Reddy Dhananjaya Reddy,#009688
Matias Bjørling,#009688
Arvind Bhushan,#badfdc
Suman Anna,#f4cd9f
Manish Chopra,#5ab9b0
Anish Bhatt,#96d1cb
Rod Whitby,#009688
Ashish Chavan,#f7f3ee
Richard Röjfors,#f5dec4
Nobuhiro Iwamatsu,#ef8e1b
David Wong,#009688
Michael Cree,#ef901f
Valentin Sitdikov,#2fa89d
Inki Dae,#39aca2
Hal Rosenstock,#f5dec3
Ard Biesheuvel,#f1a44a
Jose Alberto Reguero,#4db4aa
Jie Yang,#f1a74f
Iyappan Subramanian,#f7f6f5
Rafał Miłecki,#5dbbb2
Joerg Roedel,#009688
Robert Dolca,#b1dcd8
Aristeu Rozanski,#009688
Alexey Klimov,#f7f2ed
Peter Crosthwaite,#009688
Konstantin Sinyuk,#f1a953
Federico Simoncelli,#129d90
Chris Zhong,#f09831
Johannes Thumshirn,#009688
Martin Kepplinger,#b8dedb
josh.h.morris@us.ibm.com,#c8e5e2
Juergen Gross,#9ad2cd
Madhulika Madishetty,#009688
Hante Meuleman,#f0972e
Sakthivel K,#f09f3e
Pierre Ossman,#c1e2df
Carlos Puchol,#86cbc4
Woody Suwalski,#009688
Ivan Khoronzhuk,#f4d6b1
Martin Sperl,#f09c39
Suneel Garapati,#badfdc
Oleg Nesterov,#009688
Stuart Menefy,#7fc8c1
Ralf Bächle,#f7f7f7
Jarkko Nikula,#f1a245
Caz Yokoyama,#f09e3e
Denis V. Lunev,#f5dcbe
Stuart Hodgson,#f3c793
Dhaval Giani,#009688
Ksenija Stanojevic,#f7f2ee
Stephen Hemminger,#afdbd7
Jun Nakajima,#f09a34
Milosz Tanski,#b6deda
Marin Mitov,#f6eee5
Yani Ioannou,#009688
Malcolm Priestley,#f5dbbd
Kyungsik Lee,#f7f4f0
Jukka Rissanen,#f09b36
Hiroshi Shimamoto,#f3c690
Sheng Yang,#f3c793
bart.hartgers@gmail.com,#09998c
Scott Wood,#66beb6
Boaz Harrosh,#27a59a
Sudarsana Kalluru,#32aa9e
Jan Beulich,#f0952a
Raphael Assenat,#009688
Jerone Young,#2da89c
Palash Bandyopadhyay,#f0962c
Ben Collins,#f09f3f
Raffaele Recalcati,#009688
Mark Zhan,#009688
Patrick Ohly,#ef9325
Willy Tarreau,#009688
Michael Holzheu,#009688
Sven Brandau,#009688
Flora Fu,#3caea3
Vlad Zolotarov,#f2b874
Jassi Brar,#a7d8d3
Riku Voipio,#009688
Markos Chandras,#f6e9da
Ben Guthro,#f1a851
Jorge Eduardo Candelaria,#009688
Vishnu Patekar,#ef8d19
Rajendra Nayak,#009688
Chris Rorvick,#009688
Daniel Jeong,#e1eeed
Shreyas B. Prabhu,#009688
Liu Junliang,#b9dfdb
Filipe David Borba Manana,#f6f7f7
Greg Howard,#79c6bf
OGAWA Hirofumi,#c4e3e0
Lennert Buytenhek,#f5dec3
Arun Parameswaran,#f5dec3
Hugh Dickins,#009688
Tomasz Nowicki,#e1eeed
Saurabh Tangri,#f2b975
Stanislaw Gruszka,#6ac0b8
Venu Byravarasu,#29a69a
Nikolay Aleksandrov,#87cbc5
David Cohen,#f09c38
Tim Blechmann,#f3c793
Eytan Lifshitz,#95d1cb
Alain Knaff,#009688
Dave Kleikamp,#f2bb7a
Daniel Dressler,#f2b46c
Yang Yingliang,#009688
Jon Hunter,#aedad6
Priit Laes,#009688
Daniel Mack,#9fd4cf
Vince Bridgers,#f7f3ef
YD Tseng,#009688
Don Mullis,#009688
Jungseok Lee,#d1e8e6
Mats Randgaard,#28a69a
Lior David,#f09f40
Josh Stone,#009688
Hariprasad S,#f7f2ee
Adam Bennett,#009688
Carlos Eduardo Aguiar,#009688
Horia Geanta,#009688
Federico Vaga,#f5ddc1
Alexander Duyck,#f3be7f
Freddy Xin,#ef8f1d
Hebbar Gururaja,#009688
Randy Vinson,#009688
Oliver Neukum,#009688
Linus Lüssing,#009688
Dmitry Kravkov,#2ea89d
Michael Trimarchi,#009688
Lauri Leukkunen,#f6e7d6
Pierre-Louis Bossart,#74c4bc
Jan Luebbe,#f5daba
Hidetoshi Seto,#f6e7d6
Mickaël Salaün,#f5ddc0
Matt Porter,#009688
Mathieu OTHACEHE,#25a599
George Cherian,#169f92
Shengzhou Liu,#f5f6f6
Lv Zheng,#f0a041
Ilya Dryomov,#9ed4cf
Christian Gromm,#4eb5ab
Jiri Slaby,#eaf2f1
Christian Ruppert,#f7f5f4
David Hollis,#f6e8d7
Omair M Abdullah,#f6eee4
Adam Thomson,#23a498
Mijhail Moreyra,#d5eae8
Sebastian Hesselbarth,#c6e4e1
Bjoern Jacke,#f1aa55
Douglas Gilbert,#009688
David Woodhouse,#6fc2ba
Neil Armstrong,#009688
Souvik Kumar Chakravarty,#009688
Changhwan Youn,#009688
Markus Mayer,#f3c794
Maciej Sosnowski,#129d90
vikram pandita,#009688
Ilija Hadzic,#ee860a
Alexey Korolev,#92cfc9
Preeti U Murthy,#009688
Joe Thornber,#59b9b0
Daniel Walter,#4ab3a9
Jonthan Brassow,#009688
Larry Finger,#f6eee4
Lothar Wassmann,#83c9c3
Duson Lin,#bbdfdc
Mike Shuey,#edf3f2
Michael Barkowski,#009688
Qais Yousef,#c2e2df
Kai Bankett,#f5ddc0
Andrew Isaacson,#eef4f3
Marcin Wojtas,#009688
Justin van Wijngaarden,#119d90
George Joseph,#009688
Chris Wilson,#f1ad5c
Jesse Gross,#f4d2aa
David Ward,#f6f7f7
David Schleef,#71c2bb
M. Mohan Kumar,#f3c58f
Stuart MacDonald,#84cac3
Koji Sato,#f09d3b
Jason Wessel,#f3c186
Santiago Leon,#e9f2f1
Kevin Corry,#009688
Claudio Leite,#009688
Tristram Ha,#a2d6d1
Martin K. Petersen,#40afa5
Eric Paris,#40afa5
Thomas Abraham,#e8f1f0
Lennart Poettering,#f09831
Eric Rost,#35aba0
John Fastabend,#f3be80
蔡正龙,#7ec7c1
David Henningsson,#009688
Siarhei Siamashka,#009688
Josef Bacik,#54b7ae
Tias Guns,#009688
Keika Kobayashi,#009688
Dave Jones,#f5ddc0
Liu Yu,#1ca195
David Zhang,#09998c
Devin Heitmueller,#ef9428
Jeroen Vreeken,#1ea295
Steven J. Magnani,#06988b
Brian Lilly,#009688
Tim Small,#009688
Vivek Goyal,#009688
Boris Brezillon,#009688
Lee Revell,#1ea296
Wenyou Yang,#009688
Omar Laazimani,#009688
Vladimir Serbinenko,#f2b368
Paul Menage,#f6eee5
Andrew Hendry,#009688
Eddie Huang,#39aca1
Remi Denis-Courmont,#009688
Ian McDonald,#a6d7d3
Mark Hounschell,#ef8910
Paul Fulghum,#f6e7d5
Andy Shevchenko,#54b7ae
dingtianhong,#cfe7e5
Dmitry Kalinkin,#7ac6bf
Andrey Smirnov,#0a9a8c
Gregory Greenman,#b6ddda
kongxinwei,#f4d4ad
Mathieu Poirier,#e2efee
Josh Triplett,#009688
Reinette Chatre,#009688
Enric Balletbo i Serra,#009688
matt mooney,#afdbd7
Peter Feuerer,#009688
Christoph Lameter,#acd9d5
Ben Hutchings,#f1a852
Zang Roy-r61911,#009688
Yadwinder Singh Brar,#009688
Nikolai Kondrashov,#f2b670
Alok Kataria,#009688
Kees Lemmens,#50b5ac
Robert Schwebel,#009688
John W. Linville,#f3c289
Franky Lin,#1aa094
Vikas Sajjan,#ef8e1b
Leendert van Doorn,#f5ddc0
Mike Galbraith,#f4d5af
Andrey Porodko,#28a69a
Sundar Iyer,#ecf3f2
Benoit Parrot,#f7f5f4
Woojung.Huh@microchip.com,#c8e5e2
Linus Walleij,#33aa9f
Inaky Perez-Gonzalez,#c7e4e1
Maxime Ripard,#009688
Ismael Luceno,#009688
Simon Que,#ee8509
David Dajun Chen,#009688
Emil Medve,#ee8305
Josh Wu,#65beb5
Richard Röjfors,#70c2ba
Anil Ravindranath,#009688
navin patidar,#f1a449
H. Nikolaus Schaller,#f3c690
Hubert Chaumette,#009688
Xiubo Li,#4bb3aa
Ross Zwisler,#f4cea1
Mian Yousaf Kaukab,#34aa9f
Bernie Thompson,#009688
Vishal Verma,#0b9a8d
hayeswang,#a7d8d3
Timothy Lee,#009688
Matthew R. Ochs,#f1aa55
Andrzej Hajda,#169f92
Peter Maydell,#009688
Antonino Daplas,#ee8509
Ananth N Mavinakayanahalli,#80c8c2
Eric Brower,#f2b56e
Len Brown,#d7ebe9
Yoshihiro YUNOMAE,#f5d7b5
Victor Prupis,#f1a347
Guy Martin,#d3e9e7
Vaibhav Hiremath,#50b6ac
Tkhai Kirill,#f1aa57
Guenter Roeck,#75c4bd
Hong Liu,#009688
Arvid Brodin,#f7f1eb
Ulrich Obergfell,#009688
Dario Faggioli,#f6ecdf
Doug Thompson,#7fc8c1
Shreyas Bhatewara,#f3c691
Gregory Fong,#009688
Peter Senna Tschudin,#009688
Michal Hocko,#009688
Vojtech Pavlik,#f4ca98
Boris Barbulovski,#52b6ad
James Liao,#27a59a
Laszlo Attila Toth,#009688
tim,#d4e9e7
Stefano Babic,#d3e9e7
Wei Huang,#f6e6d4
Andre Prendel,#009688
Arnaud Lacombe,#f5dcbf
Sean Hefty,#f6e9da
Leilk Liu,#009688
Miriam Shitrit,#f3c58f
Alexander Smirnov,#67beb6
Joy Latten,#009688
Wim Van Sebroeck,#f09e3d
Jiri Benc,#83cac3
Ivan T. Ivanov,#89ccc6
Manjunath Hadli,#22a397
Benjamin Herrenschmidt,#dceceb
Vyacheslav Dubeyko,#3aada2
Vladimir Kondratiev,#f5dfc6
Philip Prindeville,#f2ba78
Grygorii Strashko,#009688
Claudio Lanconelli,#009688
Hannes Eder,#009688
Frank Schaefer,#c6e4e1
Clément Perrochaud,#f2bc7b
Joe.C,#009688
Jim Cromie,#009688
Lilach Edelstein,#acd9d5
Sony Chacko,#129d90
Daniel Lezcano,#f2b874
Nicolin Chen,#f6ede2
Michel JAOUEN,#009688
Alex Nixon,#009688
Christian Riesch,#f5dbbc
Ben Gamari,#009688
Ron Mercer,#ee8407
Meador Inge,#ee8202
